,seed,n_agents,fill,cost,lle,hle,success,planner
0,0,2,0.4,12,14,1,1,CBS-TA
1,0,2,0.4,12,26,4,1,TCBS
2,0,2,0.6,10,12,1,1,CBS-TA
3,0,2,0.6,10,20,5,1,TCBS
4,0,2,0.8,7,33,2,1,CBS-TA
5,0,2,0.8,7,14,5,1,TCBS
6,0,3,0.4,10,13,1,1,CBS-TA
7,0,3,0.4,10,14,19,1,TCBS
8,0,3,0.6,6,9,1,1,CBS-TA
9,0,3,0.6,6,32,9,1,TCBS
10,0,3,0.8,5,8,1,1,CBS-TA
11,0,3,0.8,5,21,17,1,TCBS
12,0,4,0.4,10,44,2,1,CBS-TA
13,0,4,0.4,10,42,102,1,TCBS
14,0,4,0.6,13,50,2,1,CBS-TA
15,0,4,0.6,13,56,65,1,TCBS
16,0,4,0.8,5,9,1,1,CBS-TA
17,0,4,0.8,5,30,62,1,TCBS
18,1,2,0.4,5,7,1,1,CBS-TA
19,1,2,0.4,5,16,4,1,TCBS
20,1,2,0.6,5,7,1,1,CBS-TA
21,1,2,0.6,5,12,4,1,TCBS
22,1,2,0.8,4,6,1,1,CBS-TA
23,1,2,0.8,4,8,5,1,TCBS
24,1,3,0.4,10,13,1,1,CBS-TA
25,1,3,0.4,10,36,12,1,TCBS
26,1,3,0.6,7,10,1,1,CBS-TA
27,1,3,0.6,7,31,18,1,TCBS
28,1,3,0.8,4,7,1,1,CBS-TA
29,1,3,0.8,4,8,20,1,TCBS
30,1,4,0.4,12,16,1,1,CBS-TA
31,1,4,0.4,12,39,83,1,TCBS
32,1,4,0.6,11,45,2,1,CBS-TA
33,1,4,0.6,11,108,140,1,TCBS
34,1,4,0.8,5,104,6,1,CBS-TA
35,1,4,0.8,5,20,142,1,TCBS
36,2,2,0.4,13,15,1,1,CBS-TA
37,2,2,0.4,13,28,4,1,TCBS
38,2,2,0.6,8,10,1,1,CBS-TA
39,2,2,0.6,8,18,4,1,TCBS
40,2,2,0.8,7,32,2,1,CBS-TA
41,2,2,0.8,7,14,5,1,TCBS
42,2,3,0.4,7,10,1,1,CBS-TA
43,2,3,0.4,7,35,9,1,TCBS
44,2,3,0.6,15,18,1,1,CBS-TA
45,2,3,0.6,15,35,22,1,TCBS
46,2,3,0.8,5,8,1,1,CBS-TA
47,2,3,0.8,5,18,13,1,TCBS
48,2,4,0.4,6,10,1,1,CBS-TA
49,2,4,0.4,6,37,29,1,TCBS
50,2,4,0.6,14,57,2,1,CBS-TA
51,2,4,0.6,14,54,130,1,TCBS
52,2,4,0.8,8,116,5,1,CBS-TA
53,2,4,0.8,8,38,129,1,TCBS
54,3,2,0.4,3,5,1,1,CBS-TA
55,3,2,0.4,3,12,3,1,TCBS
56,3,2,0.6,9,11,1,1,CBS-TA
57,3,2,0.6,9,18,5,1,TCBS
58,3,2,0.8,2,4,1,1,CBS-TA
59,3,2,0.8,2,8,4,1,TCBS
60,3,3,0.4,10,48,2,1,CBS-TA
61,3,3,0.4,10,32,19,1,TCBS
62,3,3,0.6,8,11,1,1,CBS-TA
63,3,3,0.6,8,24,18,1,TCBS
64,3,3,0.8,3,6,1,1,CBS-TA
65,3,3,0.8,3,14,22,1,TCBS
66,3,4,0.4,8,12,1,1,CBS-TA
67,3,4,0.4,8,24,58,1,TCBS
68,3,4,0.6,7,32,2,1,CBS-TA
69,3,4,0.6,7,34,53,1,TCBS
70,3,4,0.8,8,185,9,1,CBS-TA
71,3,4,0.8,8,25,162,1,TCBS
72,4,2,0.4,7,9,1,1,CBS-TA
73,4,2,0.4,7,11,4,1,TCBS
74,4,2,0.6,4,6,1,1,CBS-TA
75,4,2,0.6,4,7,4,1,TCBS
76,4,2,0.8,3,5,1,1,CBS-TA
77,4,2,0.8,3,6,5,1,TCBS
78,4,3,0.4,11,68,3,1,CBS-TA
79,4,3,0.4,11,27,26,1,TCBS
80,4,3,0.6,7,10,1,1,CBS-TA
81,4,3,0.6,7,21,16,1,TCBS
82,4,3,0.8,2,5,1,1,CBS-TA
83,4,3,0.8,2,11,12,1,TCBS
84,4,4,0.4,15,438,13,1,CBS-TA
85,4,4,0.4,15,42,167,1,TCBS
86,4,4,0.6,11,222,9,1,CBS-TA
87,4,4,0.6,11,25,160,1,TCBS
88,4,4,0.8,7,59,3,1,CBS-TA
89,4,4,0.8,7,34,135,1,TCBS
90,5,2,0.4,11,13,1,1,CBS-TA
91,5,2,0.4,11,22,5,1,TCBS
92,5,2,0.6,3,5,1,1,CBS-TA
93,5,2,0.6,3,10,4,1,TCBS
94,5,2,0.8,6,27,2,1,CBS-TA
95,5,2,0.8,6,8,5,1,TCBS
96,5,3,0.4,10,13,1,1,CBS-TA
97,5,3,0.4,10,26,21,1,TCBS
98,5,3,0.6,6,92,5,1,CBS-TA
99,5,3,0.6,6,11,26,1,TCBS
100,5,3,0.8,5,26,2,1,CBS-TA
101,5,3,0.8,5,10,22,1,TCBS
102,5,4,0.4,10,63,3,1,CBS-TA
103,5,4,0.4,10,48,67,1,TCBS
104,5,4,0.6,6,10,1,1,CBS-TA
105,5,4,0.6,6,24,62,1,TCBS
106,5,4,0.8,7,110,6,1,CBS-TA
107,5,4,0.8,7,24,132,1,TCBS
108,6,2,0.4,9,11,1,1,CBS-TA
109,6,2,0.4,9,22,4,1,TCBS
110,6,2,0.6,6,8,1,1,CBS-TA
111,6,2,0.6,6,7,5,1,TCBS
112,6,2,0.8,5,7,1,1,CBS-TA
113,6,2,0.8,5,12,4,1,TCBS
114,6,3,0.4,8,11,1,1,CBS-TA
115,6,3,0.4,8,31,12,1,TCBS
116,6,3,0.6,11,14,1,1,CBS-TA
117,6,3,0.6,11,36,18,1,TCBS
118,6,3,0.8,4,7,1,1,CBS-TA
119,6,3,0.8,4,6,13,1,TCBS
120,6,4,0.4,12,16,1,1,CBS-TA
121,6,4,0.4,12,21,97,1,TCBS
122,6,4,0.6,15,131,4,1,CBS-TA
123,6,4,0.6,15,25,144,1,TCBS
124,6,4,0.8,8,12,1,1,CBS-TA
125,6,4,0.8,8,26,100,1,TCBS
126,7,2,0.4,8,10,1,1,CBS-TA
127,7,2,0.4,8,16,4,1,TCBS
128,7,2,0.6,8,10,1,1,CBS-TA
129,7,2,0.6,8,16,5,1,TCBS
130,7,2,0.8,10,48,2,1,CBS-TA
131,7,2,0.8,8,15,4,1,TCBS
132,7,3,0.4,4,7,1,1,CBS-TA
133,7,3,0.4,4,14,13,1,TCBS
134,7,3,0.6,10,13,1,1,CBS-TA
135,7,3,0.6,10,19,19,1,TCBS
136,7,3,0.8,5,26,2,1,CBS-TA
137,7,3,0.8,5,8,22,1,TCBS
138,7,4,0.4,7,58,3,1,CBS-TA
139,7,4,0.4,7,25,87,1,TCBS
140,7,4,0.6,14,18,1,1,CBS-TA
141,7,4,0.6,14,48,101,1,TCBS
142,7,4,0.8,4,8,1,1,CBS-TA
143,7,4,0.8,4,11,49,1,TCBS
144,8,2,0.4,7,9,1,1,CBS-TA
145,8,2,0.4,7,22,3,1,TCBS
146,8,2,0.6,1,3,1,1,CBS-TA
147,8,2,0.6,1,3,3,1,TCBS
148,8,2,0.8,5,7,1,1,CBS-TA
149,8,2,0.8,5,9,4,1,TCBS
150,8,3,0.4,6,9,1,1,CBS-TA
151,8,3,0.4,6,33,11,1,TCBS
152,8,3,0.6,5,8,1,1,CBS-TA
153,8,3,0.6,5,14,15,1,TCBS
154,8,3,0.8,5,28,2,1,CBS-TA
155,8,3,0.8,5,16,19,1,TCBS
156,8,4,0.4,16,76,2,1,CBS-TA
157,8,4,0.4,16,41,140,1,TCBS
158,8,4,0.6,9,32,2,1,CBS-TA
159,8,4,0.6,9,23,134,1,TCBS
160,8,4,0.8,6,35,2,1,CBS-TA
161,8,4,0.8,6,13,122,1,TCBS
162,9,2,0.4,13,57,2,1,CBS-TA
163,9,2,0.4,13,26,5,1,TCBS
164,9,2,0.6,7,9,1,1,CBS-TA
165,9,2,0.6,7,18,3,1,TCBS
166,9,2,0.8,2,4,1,1,CBS-TA
167,9,2,0.8,2,8,4,1,TCBS
168,9,3,0.4,6,9,1,1,CBS-TA
169,9,3,0.4,6,20,15,1,TCBS
170,9,3,0.6,9,12,1,1,CBS-TA
171,9,3,0.6,9,22,19,1,TCBS
172,9,3,0.8,3,6,1,1,CBS-TA
173,9,3,0.8,3,14,15,1,TCBS
174,9,4,0.4,12,77,3,1,CBS-TA
175,9,4,0.4,12,49,104,1,TCBS
176,9,4,0.6,9,40,2,1,CBS-TA
177,9,4,0.6,9,29,100,1,TCBS
178,9,4,0.8,6,89,5,1,CBS-TA
179,9,4,0.8,6,36,99,1,TCBS
